annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist,stat_unreviewed_annotations,stat_hot,stat_pageviews,primary_artist_api_path,primary_artist_header_image_url,primary_artist_id,primary_artist_image_url,primary_artist_is_meme_verified,primary_artist_is_verified,primary_artist_name,primary_artist_url,stat_concurrents,primary_artist_iq
0,/songs/3097588,Anirudh Ravichander,Kannazhaga – The Kiss of Love (Romanized) by Anirudh Ravichander,https://images.genius.com/f4847470110ed7b1406633af28b06b77.281x355x1.jpg,https://images.genius.com/f4847470110ed7b1406633af28b06b77.281x355x1.jpg,3097588,4311777,complete,/Anirudh-ravichander-kannazhaga-the-kiss-of-love-romanized-lyrics,,https://genius.com/Anirudh-ravichander-kannazhaga-the-kiss-of-love-romanized-sample,"{'year': 2011, 'month': 12, 'day': 23}","December 23, 2011","Dec. 23, 2011",https://images.genius.com/661a620c93154417f1b8ec7bd2848334.300x300x1.jpg,https://images.genius.com/661a620c93154417f1b8ec7bd2848334.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 185438}",Kannazhaga – The Kiss of Love (Romanized),Kannazhaga – The Kiss of Love (Romanized),https://genius.com/Anirudh-ravichander-kannazhaga-the-kiss-of-love-romanized-lyrics,[],"{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",0,False,185438.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
1,/songs/2119491,Anirudh Ravichander (Ft. Shweta Mohan & Vijay Yesudas),Nee Paartha Vizhigal – The Touch of Love (Romanized) by Anirudh Ravichander (Ft. Shweta Mohan & Vijay Yesudas),https://images.genius.com/f4847470110ed7b1406633af28b06b77.281x355x1.jpg,https://images.genius.com/f4847470110ed7b1406633af28b06b77.281x355x1.jpg,2119491,4311777,complete,/Anirudh-ravichander-nee-paartha-vizhigal-the-touch-of-love-romanized-lyrics,,https://genius.com/Anirudh-ravichander-nee-paartha-vizhigal-the-touch-of-love-romanized-sample,"{'year': 2011, 'month': 12, 'day': 23}","December 23, 2011","Dec. 23, 2011",https://images.genius.com/661a620c93154417f1b8ec7bd2848334.300x300x1.jpg,https://images.genius.com/661a620c93154417f1b8ec7bd2848334.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 135232}",Nee Paartha Vizhigal – The Touch of Love (Romanized),Nee Paartha Vizhigal – The Touch of Love (Romanized) (Ft. Shweta Mohan & Vijay Yesudas),https://genius.com/Anirudh-ravichander-nee-paartha-vizhigal-the-touch-of-love-romanized-lyrics,"[{'api_path': '/artists/1143416', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1707847067', 'id': 1143416, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1707847067', 'is_meme_verified': False, 'is_verified': False, 'name': 'Shweta Mohan', 'url': 'https://genius.com/artists/Shweta-mohan'}, {'api_path': '/artists/1143415', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1707847067', 'id': 1143415, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1707847067', 'is_meme_verified': False, 'is_verified': False, 'name': 'Vijay Yesudas', 'url': 'https://genius.com/artists/Vijay-yesudas'}]","{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",0,False,135232.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
1,/songs/3083471,Anirudh Ravichander (Ft. Arjun Kanungo & Srinidhi Venkatesh),Sirikkadhey by Anirudh Ravichander (Ft. Arjun Kanungo & Srinidhi Venkatesh),https://images.genius.com/8906292a624cc8b6a92ecdcdd9b41321.300x415x1.jpg,https://images.genius.com/8906292a624cc8b6a92ecdcdd9b41321.463x640x1.jpg,3083471,4311777,complete,/Anirudh-ravichander-sirikkadhey-lyrics,1.0,https://genius.com/Anirudh-ravichander-sirikkadhey-sample,"{'year': 2016, 'month': 8, 'day': 18}","August 18, 2016","Aug. 18, 2016",https://images.genius.com/3958fa3571031b3177f83ed6d31d0d7b.182x90x1.jpg,https://images.genius.com/3958fa3571031b3177f83ed6d31d0d7b.182x90x1.jpg,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 71118}",Sirikkadhey,Sirikkadhey (Ft. Arjun Kanungo & Srinidhi Venkatesh),https://genius.com/Anirudh-ravichander-sirikkadhey-lyrics,"[{'api_path': '/artists/1135969', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1707847067', 'id': 1135969, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1707847067', 'is_meme_verified': False, 'is_verified': False, 'name': 'Srinidhi Venkatesh', 'url': 'https://genius.com/artists/Srinidhi-venkatesh'}, {'api_path': '/artists/561026', 'header_image_url': 'https://images.genius.com/36834b25d5406a66a3b14f6729dc44c3.500x500x1.jpg', 'id': 561026, 'image_url': 'https://images.genius.com/36834b25d5406a66a3b14f6729dc44c3.500x500x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Arjun Kanungo', 'url': 'https://genius.com/artists/Arjun-kanungo'}]","{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",1,False,71118.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
1,/songs/2119261,Anirudh Ravichander,Why this Kolaveri Di? – The Soup of Love (Romanized) by Anirudh Ravichander,https://images.genius.com/eadde38a90b2b4086b01e7fca83beb21.220x278x1.jpg,https://images.genius.com/eadde38a90b2b4086b01e7fca83beb21.220x278x1.jpg,2119261,1549345,complete,/Anirudh-ravichander-why-this-kolaveri-di-the-soup-of-love-romanized-lyrics,,https://genius.com/Anirudh-ravichander-why-this-kolaveri-di-the-soup-of-love-romanized-sample,"{'year': 2011, 'month': 11, 'day': 16}","November 16, 2011","Nov. 16, 2011",https://images.genius.com/cfefae135d4361ce769b315cd47b3d18.220x220x1.jpg,https://images.genius.com/cfefae135d4361ce769b315cd47b3d18.220x220x1.jpg,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 73257}",Why this Kolaveri Di? – The Soup of Love (Romanized),Why this Kolaveri Di? – The Soup of Love (Romanized),https://genius.com/Anirudh-ravichander-why-this-kolaveri-di-the-soup-of-love-romanized-lyrics,[],"{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",1,False,73257.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
0,/songs/3097685,Anirudh Ravichander (Ft. Ajeesh),Idhazhin Oram – The Innocence of Love (Romanized) by Anirudh Ravichander (Ft. Ajeesh),https://images.genius.com/f4847470110ed7b1406633af28b06b77.281x355x1.jpg,https://images.genius.com/f4847470110ed7b1406633af28b06b77.281x355x1.jpg,3097685,4311777,complete,/Anirudh-ravichander-idhazhin-oram-the-innocence-of-love-romanized-lyrics,,https://genius.com/Anirudh-ravichander-idhazhin-oram-the-innocence-of-love-romanized-sample,"{'year': 2011, 'month': 12, 'day': 23}","December 23, 2011","Dec. 23, 2011",https://images.genius.com/661a620c93154417f1b8ec7bd2848334.300x300x1.jpg,https://images.genius.com/661a620c93154417f1b8ec7bd2848334.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 64755}",Idhazhin Oram – The Innocence of Love (Romanized),Idhazhin Oram – The Innocence of Love (Romanized) (Ft. Ajeesh),https://genius.com/Anirudh-ravichander-idhazhin-oram-the-innocence-of-love-romanized-lyrics,"[{'api_path': '/artists/1143385', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1707847067', 'id': 1143385, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1707847067', 'is_meme_verified': False, 'is_verified': False, 'name': 'Ajeesh', 'url': 'https://genius.com/artists/Ajeesh'}]","{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",0,False,64755.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
0,/songs/1952721,Anirudh Ravichander (Ft. Mohit Chauhan & Shreya Ghoshal),Velicha Poove by Anirudh Ravichander (Ft. Mohit Chauhan & Shreya Ghoshal),https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.300x300x1.png,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.1000x1000x1.png,1952721,1549345,complete,/Anirudh-ravichander-velicha-poove-lyrics,,https://genius.com/Anirudh-ravichander-velicha-poove-sample,,,,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.300x300x1.png,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 45717}",Velicha Poove,Velicha Poove (Ft. Mohit Chauhan & Shreya Ghoshal),https://genius.com/Anirudh-ravichander-velicha-poove-lyrics,"[{'api_path': '/artists/17032', 'header_image_url': 'https://images.genius.com/0baf5882554b158003d26c9089ce06b5.252x252x1.jpg', 'id': 17032, 'image_url': 'https://images.genius.com/0baf5882554b158003d26c9089ce06b5.252x252x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Mohit Chauhan', 'url': 'https://genius.com/artists/Mohit-chauhan'}, {'api_path': '/artists/254315', 'header_image_url': 'https://images.genius.com/436c33530f9a94257f61cfe1d4637e4d.960x600x1.jpg', 'id': 254315, 'image_url': 'https://images.genius.com/f8cf7b93a9ed5369f464c18f825bbc12.959x959x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Shreya Ghoshal', 'url': 'https://genius.com/artists/Shreya-ghoshal'}]","{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",0,False,45717.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
1,/songs/2117901,Anirudh Ravichander (Ft. Hiphop Tamizha & Yo Yo Honey Singh),Ethir Neechal by Anirudh Ravichander (Ft. Hiphop Tamizha & Yo Yo Honey Singh),https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.300x300x1.png,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.1000x1000x1.png,2117901,1549345,complete,/Anirudh-ravichander-ethir-neechal-lyrics,,https://genius.com/Anirudh-ravichander-ethir-neechal-sample,,,,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.300x300x1.png,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 41392}",Ethir Neechal,Ethir Neechal (Ft. Hiphop Tamizha & Yo Yo Honey Singh),https://genius.com/Anirudh-ravichander-ethir-neechal-lyrics,"[{'api_path': '/artists/80846', 'header_image_url': 'https://images.genius.com/2463a9c050f7e3a513b077badb5795b2.1000x333x1.jpg', 'id': 80846, 'image_url': 'https://images.genius.com/6b4db4effcb9592b5d9d50c6b2b78421.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Yo Yo Honey Singh', 'url': 'https://genius.com/artists/Yo-yo-honey-singh'}, {'api_path': '/artists/533334', 'header_image_url': 'https://images.genius.com/4a305a6b4bbabf4e5e68c6c6f2a5f65e.400x400x1.jpg', 'id': 533334, 'image_url': 'https://images.genius.com/4a305a6b4bbabf4e5e68c6c6f2a5f65e.400x400x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Hiphop Tamizha', 'url': 'https://genius.com/artists/Hiphop-tamizha'}]","{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",0,False,41392.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
1,/songs/2003282,Anirudh Ravichander,Boomi Enna Suthudhe by Anirudh Ravichander,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.300x300x1.png,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.1000x1000x1.png,2003282,1549345,complete,/Anirudh-ravichander-boomi-enna-suthudhe-lyrics,,https://genius.com/Anirudh-ravichander-boomi-enna-suthudhe-sample,,,,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.300x300x1.png,https://images.genius.com/87c7ed24fde3e8c230725b9d4a0e35e6.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 39536}",Boomi Enna Suthudhe,Boomi Enna Suthudhe,https://genius.com/Anirudh-ravichander-boomi-enna-suthudhe-lyrics,[],"{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",0,False,39536.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
1,/songs/3325747,Anirudh Ravichander (Ft. Jonita Gandhi),Iraiva by Anirudh Ravichander (Ft. Jonita Gandhi),https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.300x300x1.png,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,3325747,4476161,complete,/Anirudh-ravichander-iraiva-lyrics,,https://genius.com/Anirudh-ravichander-iraiva-sample,"{'year': 2017, 'month': 11, 'day': 2}","November 2, 2017","Nov. 2, 2017",https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.300x300x1.png,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 33383}",Iraiva,Iraiva (Ft. Jonita Gandhi),https://genius.com/Anirudh-ravichander-iraiva-lyrics,"[{'api_path': '/artists/1192977', 'header_image_url': 'https://images.genius.com/7e1dd07aad447c9cf649f43bb94a8c0d.960x640x1.jpg', 'id': 1192977, 'image_url': 'https://images.genius.com/ab85caedfc9b3374d88e87eb78732e7e.480x480x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jonita Gandhi', 'url': 'https://genius.com/artists/Jonita-gandhi'}]","{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",1,False,33383.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
0,/songs/3170322,Anirudh Ravichander (Ft. Sunidhi Chauhan & Vijay),Selfie Pulla by Anirudh Ravichander (Ft. Sunidhi Chauhan & Vijay),https://images.genius.com/3c72d38d157c2d9933e6bab6e7772aa7.300x300x1.jpg,https://images.genius.com/3c72d38d157c2d9933e6bab6e7772aa7.340x340x1.jpg,3170322,4001617,complete,/Anirudh-ravichander-selfie-pulla-lyrics,1.0,https://genius.com/Anirudh-ravichander-selfie-pulla-sample,"{'year': 2014, 'month': 9, 'day': 18}","September 18, 2014","Sep. 18, 2014",https://images.genius.com/3c72d38d157c2d9933e6bab6e7772aa7.300x300x1.jpg,https://images.genius.com/3c72d38d157c2d9933e6bab6e7772aa7.340x340x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 45643}",Selfie Pulla,Selfie Pulla (Ft. Sunidhi Chauhan & Vijay),https://genius.com/Anirudh-ravichander-selfie-pulla-lyrics,"[{'api_path': '/artists/387930', 'header_image_url': 'https://images.genius.com/b8b72f54f0b9ce076e71867746c78af5.1000x563x1.jpg', 'id': 387930, 'image_url': 'https://images.genius.com/41b0a944349e75d019ea4f85b7fc2289.362x362x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Sunidhi Chauhan', 'url': 'https://genius.com/artists/Sunidhi-chauhan'}, {'api_path': '/artists/25171', 'header_image_url': 'https://images.genius.com/5e1cb6cb4fb567740f4393ff0ea6e6c6.444x250x1.jpg', 'id': 25171, 'image_url': 'https://images.genius.com/6dbfc0934acab40663a9023bfc5df9d9.423x423x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Vijay', 'url': 'https://genius.com/artists/Vijay'}]","{'api_path': '/artists/351759', 'header_image_url': 'https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png', 'id': 351759, 'image_url': 'https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Anirudh Ravichander', 'url': 'https://genius.com/artists/Anirudh-ravichander'}",0,False,45643.0,/artists/351759,https://images.genius.com/a2af9364bcce1ce2143a499cec107398.300x168x1.png,351759,https://images.genius.com/50dfa7c50cdfb7616fe9d3ec74179101.405x405x1.png,False,False,Anirudh Ravichander,https://genius.com/artists/Anirudh-ravichander,,
0,/songs/1975385,Genius Romanizations,"A. R. Rahman, Javed Ali & Mohit Chauhan - Kun Faya Kun (Romanized) by Genius Romanizations",https://images.genius.com/3b38758c0771e9d8ca13944b118077fd.300x300x1.jpg,https://images.genius.com/3b38758c0771e9d8ca13944b118077fd.1000x1000x1.jpg,1975385,11598419,complete,/Genius-romanizations-a-r-rahman-javed-ali-and-mohit-chauhan-kun-faya-kun-romanized-lyrics,2.0,https://genius.com/Genius-romanizations-a-r-rahman-javed-ali-and-mohit-chauhan-kun-faya-kun-romanized-sample,"{'year': 2011, 'month': 9, 'day': 30}","September 30, 2011","Sep. 30, 2011",https://images.genius.com/3b38758c0771e9d8ca13944b118077fd.300x300x1.jpg,https://images.genius.com/3b38758c0771e9d8ca13944b118077fd.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 684695}","A. R. Rahman, Javed Ali & Mohit Chauhan - Kun Faya Kun (Romanized)","A. R. Rahman, Javed Ali & Mohit Chauhan - Kun Faya Kun (Romanized)",https://genius.com/Genius-romanizations-a-r-rahman-javed-ali-and-mohit-chauhan-kun-faya-kun-romanized-lyrics,[],"{'api_path': '/artists/1507735', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 1507735, 'image_url': 'https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius Romanizations', 'url': 'https://genius.com/artists/Genius-romanizations'}",0,False,684695.0,/artists/1507735,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,1507735,https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png,False,False,Genius Romanizations,https://genius.com/artists/Genius-romanizations,,
3,/songs/1999442,Genius Romanizations,A.R. Rahman - Tere Bina (Romanized) by Genius Romanizations,https://images.genius.com/212667c7f24c9a24f17e2373e81cadde.300x300x1.jpg,https://images.genius.com/212667c7f24c9a24f17e2373e81cadde.1000x1000x1.jpg,1999442,7315462,complete,/Genius-romanizations-ar-rahman-tere-bina-romanized-lyrics,,https://genius.com/Genius-romanizations-ar-rahman-tere-bina-romanized-sample,"{'year': 2006, 'month': 11, 'day': 16}","November 16, 2006","Nov. 16, 2006",https://images.genius.com/212667c7f24c9a24f17e2373e81cadde.300x300x1.jpg,https://images.genius.com/212667c7f24c9a24f17e2373e81cadde.1000x1000x1.jpg,"{'unreviewed_annotations': 3, 'hot': False, 'pageviews': 421055}",A.R. Rahman - Tere Bina (Romanized),A.R. Rahman - Tere Bina (Romanized),https://genius.com/Genius-romanizations-ar-rahman-tere-bina-romanized-lyrics,[],"{'api_path': '/artists/1507735', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 1507735, 'image_url': 'https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius Romanizations', 'url': 'https://genius.com/artists/Genius-romanizations'}",3,False,421055.0,/artists/1507735,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,1507735,https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png,False,False,Genius Romanizations,https://genius.com/artists/Genius-romanizations,,
3,/songs/1026568,Genius Romanizations,A.R. Rahman - Khwaja Mere Khwaja (Romanized) by Genius Romanizations,https://images.genius.com/082265e78e24546887edaa13e95a2c4e.300x300x1.jpg,https://images.genius.com/082265e78e24546887edaa13e95a2c4e.1000x1000x1.jpg,1026568,7315462,complete,/Genius-romanizations-ar-rahman-khwaja-mere-khwaja-romanized-lyrics,,https://genius.com/Genius-romanizations-ar-rahman-khwaja-mere-khwaja-romanized-sample,"{'year': 2008, 'month': 3, 'day': 30}","March 30, 2008","Mar. 30, 2008",https://images.genius.com/082265e78e24546887edaa13e95a2c4e.300x300x1.jpg,https://images.genius.com/082265e78e24546887edaa13e95a2c4e.1000x1000x1.jpg,"{'unreviewed_annotations': 3, 'hot': False, 'pageviews': 352548}",A.R. Rahman - Khwaja Mere Khwaja (Romanized),A.R. Rahman - Khwaja Mere Khwaja (Romanized),https://genius.com/Genius-romanizations-ar-rahman-khwaja-mere-khwaja-romanized-lyrics,[],"{'api_path': '/artists/1507735', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 1507735, 'image_url': 'https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius Romanizations', 'url': 'https://genius.com/artists/Genius-romanizations'}",3,False,352548.0,/artists/1507735,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,1507735,https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png,False,False,Genius Romanizations,https://genius.com/artists/Genius-romanizations,,
